Round,match,Pasalic_minutes_played,Pasalic_goals_scored_00-15,Pasalic_goals_scored_16-30,Pasalic_goals_scored_31-45+,Pasalic_goals_scored_46-60,Pasalic_goals_scored_61-75,Pasalic_goals_scored_76-90+,Pasalic_assists_00-15,Pasalic_assists_16-30,Pasalic_assists_31-45+,Pasalic_assists_46-60,Pasalic_assists_61-75,Pasalic_assists_76-90+,Pasalic_yellow_cards,Pasalic_red_cards,Pasalic_penalties_converted,Pasalic_penalties_missed,Pasalic_scored_opening_goal,Pasalic_scored_equalizer,Pasalic_scored_winning_goal
1,Milan_v_Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Napoli_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Milan_v_Udinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Sampdoria_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Milan_v_Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Fiorentina_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Milan_v_Sassuolo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Chievo_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Milan_v_Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Genoa_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Milan_v_Pescara,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Palermo_v_Milan,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Milan_v_Inter,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Empoli_v_Milan,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Milan_v_Crotone,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
16,Roma_v_Milan,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,Milan_v_Atalanta,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,Bologna_v_Milan,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
19,Milan_v_Cagliari,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Torino_v_Milan,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Milan_v_Napoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Udinese_v_Milan,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Milan_v_Sampdoria,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Lazio_v_Milan,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Milan_v_Fiorentina,96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Sassuolo_v_Milan,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Milan_v_Chievo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Juventus_v_Milan,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,Milan_v_Genoa,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Pescara_v_Milan,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,Milan_v_Palermo,90,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Inter_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Milan_v_Empoli,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Crotone_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Milan_v_Roma,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Atalanta_v_Milan,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Milan_v_Bologna,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Cagliari_v_Milan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
