Round,hashtag,matches,goals_scored,goals_conceded,match_result,goals_scored_00_15,goals_scored_16_30,goals_scored_31_45,goals_scored_46_60,goals_scored_61_75,goals_scored_76_90plus,goals_conceded_00_15,goals_conceded_16_30,goals_conceded_31_45,goals_conceded_46_60,goals_conceded_61_75,goals_conceded_76_90plus
1,#torinomilan,Milan_v_Torino,3,2,W,0,0,1,1,1,0,0,0,0,1,0,1
2,#milannapoli,Napoli_v_Milan,2,4,L,0,0,0,2,0,0,0,1,1,0,1,1
3,#milanudinese,Milan_v_Udinese,0,1,L,0,0,0,0,0,0,0,0,0,0,0,1
4,#MilanSampdoria,Sampdoria_v_Milan,1,0,W,0,0,0,0,0,1,0,0,0,0,0,0
5,#LazioMilan,Milan_v_Lazio,2,0,W,0,0,1,0,1,0,0,0,0,0,0,0
6,#MilanFiorentina,Fiorentina_v_Milan,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0
7,#SassuoloMilan,Milan_v_Sassuolo,4,3,W,1,0,0,0,2,1,1,0,0,2,0,0
8,#MilanChievo,Chievo_v_Milan,3,1,W,0,0,1,1,0,1,0,0,0,0,0,1
9,#JuveMilan,Milan_v_Juventus,1,0,W,0,0,0,0,1,0,0,0,0,0,0,0
10,#GenoaMilan,Genoa_v_Milan,0,3,L,0,0,0,0,0,0,1,0,0,0,0,2
11,#PescaraMilan,Milan_v_Pescara,1,0,W,0,0,0,1,0,0,0,0,0,0,0,0
12,#MilanPalermo,Palermo_v_Milan,2,1,W,1,0,0,0,0,1,0,0,0,0,1,0
13,#InterMilan,Milan_v_Inter,2,2,D,0,0,1,1,0,0,0,0,0,1,0,1
14,#empolimilan,Empoli_v_Milan,4,1,W,1,0,0,0,2,1,0,1,0,0,0,0
15,#milancrotone,Milan_v_Crotone,2,1,W,0,0,1,0,0,1,0,1,0,0,0,0
16,#romamilan,Roma_v_Milan,0,1,L,0,0,0,0,0,0,0,0,0,0,1,0
17,#milanatalanta,Milan_v_Atalanta,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0
18,#BolognaMilan,Bologna_v_Milan,1,0,W,0,0,0,0,0,1,0,0,0,0,0,0
19,#milancagliari,Milan_v_Cagliari,1,0,W,0,0,0,0,0,1,0,0,0,0,0,0
20,#torinomilan,Torino_v_Milan,2,2,D,0,0,0,2,0,0,0,2,0,0,0,0
21,#milannapoli,Milan_v_Napoli,1,2,L,0,0,1,0,0,0,2,0,0,0,0,0
22,#milanudinese,Udinese_v_Milan,1,2,L,1,0,0,0,0,0,0,0,1,0,1,0
23,#MilanSampdoria,Milan_v_Sampdoria,0,1,L,0,0,0,0,0,0,0,0,0,0,1,0
24,#LazioMilan,Lazio_v_Milan,1,1,D,0,0,0,0,0,1,0,0,0,1,0,0
25,#MilanFiorentina,Milan_v_Fiorentina,2,1,W,0,1,1,0,0,0,0,1,0,0,0,0
26,#SassuoloMilan,Sassuolo_v_Milan,1,0,W,0,1,0,0,0,0,0,0,0,0,0,0
27,#MilanChievo,Milan_v_Chievo,3,1,W,0,1,0,0,1,1,0,0,1,0,0,0
28,#JuveMilan,Juventus_v_Milan,1,2,L,0,0,1,0,0,0,0,1,0,0,0,1
29,#GenoaMilan,Milan_v_Genoa,1,0,W,0,0,1,0,0,0,0,0,0,0,0,0
30,#PescaraMilan,Pescara_v_Milan,1,1,D,0,0,1,0,0,0,1,0,0,0,0,0
31,#MilanPalermo,Milan_v_Palermo,4,0,W,1,1,1,0,1,0,0,0,0,0,0,0
32,#InterMilan,Inter_v_Milan,2,2,D,0,0,0,0,0,2,0,0,2,0,0,0
33,#empolimilan,Milan_v_Empoli,1,2,L,0,0,0,0,1,0,0,0,1,0,1,0
34,#milancrotone,Crotone_v_Milan,1,1,D,0,0,0,1,0,0,1,0,0,0,0,0
35,#romamilan,Milan_v_Roma,1,4,L,0,0,0,0,0,1,1,1,0,0,0,2
36,#milanatalanta,Atalanta_v_Milan,1,1,D,0,0,0,0,0,1,0,0,1,0,0,0
37,#BolognaMilan,Milan_v_Bologna,3,0,W,0,0,0,0,2,1,0,0,0,0,0,0
38,#milancagliari,Cagliari_v_Milan,2,1,L,0,0,0,0,1,0,0,1,0,0,0,0
